DATE,BRMS28M647NCEN
2009-01-01,487245
2009-02-01,488264
2009-03-01,491346
2009-04-01,498956
2009-05-01,510606
2009-06-01,522305
2009-07-01,534567
2009-08-01,544657
2009-09-01,553226
2009-10-01,563402
2009-11-01,569352
2009-12-01,573545
2010-01-01,569700
2010-02-01,566261
2010-03-01,566216
2010-04-01,567724
2010-05-01,571542
2010-06-01,578040
2010-07-01,586090
2010-08-01,594788
2010-09-01,601432
2010-10-01,607556
2010-11-01,612889
2010-12-01,616748
2011-01-01,615375
2011-02-01,614090
2011-03-01,615510
2011-04-01,619598
2011-05-01,623371
2011-06-01,630250
2011-07-01,633764
2011-08-01,639609
2011-09-01,642397
2011-10-01,645220
2011-11-01,647215
2011-12-01,651696
2012-01-01,650774
2012-02-01,651171
2012-03-01,651812
2012-04-01,651721
2012-05-01,654029
2012-06-01,659191
2012-07-01,660743
2012-08-01,666220
2012-09-01,663528
2012-10-01,669930
2012-11-01,672441
2012-12-01,672339
2013-01-01,668862
2013-02-01,668255
2013-03-01,666700
2013-04-01,663151
2013-05-01,664219
2013-06-01,667267
2013-07-01,667575
2013-08-01,671774
2013-09-01,670979
2013-10-01,671463
2013-11-01,669599
2013-12-01,664936
2014-01-01,660320
2014-02-01,657672
2014-03-01,653779
2014-04-01,650774
2014-05-01,650853
2014-06-01,650144
2014-07-01,649948
2014-08-01,652057
2014-09-01,650911
2014-10-01,652120
2014-11-01,651409
2014-12-01,648814
2015-01-01,643651
2015-02-01,638502
2015-03-01,631050
2015-04-01,628098
2015-05-01,628737
2015-06-01,628633
2015-07-01,628303
2015-08-01,629081
2015-09-01,627469
2015-10-01,628354
2015-11-01,625332
2015-12-01,621722
2016-01-01,611476
2016-02-01,598865
2016-03-01,570514
2016-04-01,559752
2016-05-01,554922
2016-06-01,555306
2016-07-01,554866
2016-08-01,555513
2016-09-01,555278
2016-10-01,554225
2016-11-01,552873
2016-12-01,549951
2017-01-01,543482
2017-02-01,540106
2017-03-01,535180
2017-04-01,530313
2017-05-01,528855
2017-06-01,529860
2017-07-01,527026
2017-08-01,528500
2017-09-01,528067
2017-10-01,527023
2017-11-01,525353
2017-12-01,522618
2018-01-01,513848
2018-02-01,510050
2018-03-01,506631
2018-04-01,500495
2018-05-01,498490
2018-06-01,498290
2018-07-01,491541
2018-08-01,489938
2018-09-01,479423
2018-10-01,477166
2018-11-01,473171
2018-12-01,468186
2019-01-01,457292
2019-02-01,454505
2019-03-01,449821
2019-04-01,443868
2019-05-01,444005
2019-06-01,446617
2019-07-01,446420
2019-08-01,446880
2019-09-01,443382
2019-10-01,440496
2019-11-01,438943
2019-12-01,432407
